"BOM Report: LOOD-17747-001, Last Modified: 2025-02-14-07-12-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM Usage Attributes,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,,,,,Part Attributes,,,,,,,,,,,,,,,,,,,,CAD Physical Attributes,,,,Physical Attributes,,,,,,CS Attributes,,System Attributes,,,
Level,Number,Type,Assembly Mode,L-Nr.,QTY,Unit,Version,Name,State,Service Level,"Food
Contact ",Delivery Item,"Lifetime 
Quantity",Lifetime Unit,"SPC 
Termination","Initial Spare 
Part Indic.","Operating
Element","BOM
Class 1",Name EN-US,Description EN-US,Name DE-DE,Description DE-DE,Name ZH-CHS,Description ZH-CHS,Name ES-ES,Description ES-ES,Name PT-BR,Description PT-BR,Name CS-CZ,Description CS-CZ,Name VI-VN,Description VI-VN,Partner,Source,Comparable,Configuration Type,Default Unit,"Reuse Not 
Allowed","Old Part 
Number",Machine Type,Basic Material,"Basic Material
Description",Supersede,Superseded By,"Material 
Group","No Logistic 
Relevance","Dangerous
Good Indic.",ClassNode,Legacy ID,Electrical Relevant,Doc Classification,Stackability,Delta X [mm],Delta Y [mm],Delta Z [mm],Mass [kg],Length [mm],Width [mm],Height [mm],Netto Weight,Weight Unit,Weight Code,Service Life in Months:,SPC Termination Part:,Design Office,Division,Modified by,Last Modified
5,LONT-80256-001,Standard Part,Separable,1,1,each,01.8 ,socket head cap screw M4x50,Released,,,,,,,,,,socket head cap screw M4x50,"socket head cap screw M4x50
steel 8.8 blackened
ISO 4762 with shank",Innensechskantschraube M4x50,"Innensechskantschraube M4x50
Stahl 8.8 geschw?rzt
ISO 4762 mit Schaft",内六角螺栓 M4x50,"内六角螺栓 M4x50
钢 8.8 变黑的
国际标准化组织 4762   柄",tornillo cilíndrico con hexágono,"tornillo cilíndrico con hexágono
 interior M4x50
acero 8.8 ennegrecido
ISO 4762 con vástago",parafuso cilíndrico com sextavado,"parafuso cilíndrico com sextavado
 interno M4x50
a?o 8.8 enegrecido
ISO 4762 com haste",?roub s válcovou hlavou a vnit?ním,"?roub s válcovou hlavou a vnit?ním
 ?estihranem M4x50
ocel 8.8 ?erněn?
Mezinárodní organizace pro normalizaci
 4762 s d?ík",vi?t mu? ???u lu?c gia?c M4x50,"vi?t mu? ???u lu?c gia?c M4x50
thép 8.8 ???c hóa ?en
ISO 4762 v?i th?n bu l?ng",Corporate,Buy,,,each,,10 90 00 130,,,Mild steel,,,23110000,false,Dangerous Good No / Hazardous Good No,K00572,,,,,7,54,7,0.006,54,7,7,0.006,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"G, Akshay Kumar",2024-04-10 04:17:40
4,LONT-42849-001,Standard Part,Separable,19,1,each,00.7 ,filter optical UV VIS,Released,,,,,,,,,,filter optical UV VIS,"filter optical UV VIS
needle filter manufacturer
Layertec GmbH
art. no. 179171",Filter optisch UV VIS,"Filter optisch UV VIS
Nadel Filter Hersteller
Layertec GmbH
Art.-Nr. 179171",过滤器 光学的 紫外 VIS,"过滤器 光学的 紫外 VIS
针状物 过滤器 制造商
Layertec GmbH
产品编号 179171",filtro óptico UV VIS,"filtro óptico UV VIS
aguja filtro fabricante
Layertec GmbH
n.? art. 179171",filtro ótico UV VIS,"filtro ótico UV VIS
agulha filtro fabricante
Layertec GmbH
número do artigo 179171",filtr optick? UV viditelné světelné,"filtr optick? UV viditelné světelné
 spektrum
jehla filtr v?robce
Layertec GmbH
?. polo?ky 179171",máy l?c quang h?c UV VIS,"máy l?c quang h?c UV VIS
kim máy l?c nhà s?n xu?t
Layertec GmbH
m? s? s?n ph?m 179171",BLOA,Buy,,,each,false,,,,,,,27000000,,Dangerous Good No / Hazardous Good No,K01156,,,,,25,25,1,0.1,,,,,kg,Specified,,BELOW,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2023-06-06 04:28:57
3,LONT-81086-001,Standard Part,Inseparable,26,4,each,00.4 ,washer ?6.4/17x3,Released,,,,,,,,,,washer ?6.4/17x3,"washer ?6.4/17x3
basic material steel 200 HV blackened
DIN 7349",Unterlegscheibe ?6.4/17x3,"Unterlegscheibe ?6.4/17x3
Werkstoff Stahl 200 HV brüniert
DIN 7349",垫圈 ?6.4/17x3,"垫圈 ?6.4/17x3
基本材料 钢 200 HV 涂黑
德国标准化学会 7349",arandela ?6.4/17x3,"arandela ?6.4/17x3
materia prima acero 200 HV recubierto
 de óxido negro
DIN 7349",arruela ?6.4/17x3,"arruela ?6.4/17x3
matéria-prima a?o 200 HV brunido
DIN 7349",podlo?ka ?6.4/17x3,"podlo?ka ?6.4/17x3
surovina ocel 200 HV ?erněn?
DIN 7349",vòng ??m ?6.4/17x3,"vòng ??m ?6.4/17x3
nguyên li?u thép 200 HV ???c nhu?m ?en
DIN 7349",BLOA,Buy,,,each,false,10 90 00 967,,,,,,23090300,false,Dangerous Good No / Hazardous Good No,K00292,,,,,,,,,17,17,3,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Benzing, Matthias",2020-11-12 07:31:50
3,LONT-80352-001,Standard Part,Separable,27,4,each,00.2 ,spring lock washer ?5.1/8.8x3.78 A2,Released,,,,,,,,,,spring lock washer ?5.1/8.8x3.78 A2,"spring lock washer ?5.1/8.8x3.78 A2
corrosion-resistant A2-70
DIN 7980",Federring ?5.1/8.8x3.78 A2,"Federring ?5.1/8.8x3.78 A2
nichtrostend A2-70
DIN 7980",弹簧锁紧垫圈 ?5.1/8.8x3.78 A2,"弹簧锁紧垫圈 ?5.1/8.8x3.78 A2
防锈 A2-70
德国标准化学会 7980",arandela elástica ?5.1/8.8x3.78 A2,"arandela elástica ?5.1/8.8x3.78 A2
inoxidable A2-70
DIN 7980",arruela elástica ?5.1/8.8x3.78 A2,"arruela elástica ?5.1/8.8x3.78 A2
inoxidável A2-70
DIN 7980",pérová podlo?ka ?5.1/8.8x3.78 A2,"pérová podlo?ka ?5.1/8.8x3.78 A2
korozivzdorn? A2-70
DIN 7980",vòng ??m h?m lò xo ?5.1/8.8x3.78 A2,"vòng ??m h?m lò xo ?5.1/8.8x3.78 A2
ch?ng ?n mòn A2-70
DIN 7980",BLOA,Buy,,,each,false,10 90 00 226,,,,,,,false,Dangerous Good No / Hazardous Good No,,,,,,,,,,,,,,,,,,S13 Standardization  BLOA,OP Optics (B8),"Benzing, Matthias",2020-11-12 12:59:09
3,UNN -12001-152,Standard Part,Component,28,6,each,04.14 ,hex nut 0.8d M5 galvanized,Released,,,,,,,,,,hex nut 0.8d M5 galvanized,"hex nut 0.8d M5 galvanized
basic material steel
surface galvanized and blue chromated
strength class 8 ISO 4032",Sechskantmutter 0.8d M5 verzinkt,"Sechskantmutter 0.8d M5 verzinkt
Werkstoff Stahl
Oberfl?che verzinkt und blau chromatiert
Festigkeitsklasse 8 ISO 4032",六角螺母 0.8d M5 镀锌,"六角螺母 0.8d M5 镀锌
基本材料 钢
表层 镀锌 和 蓝色 镀铬
抗拉强度等级 8 ISO 4032",tuerca hexagonal 0.8d M5 galvanizado,"tuerca hexagonal 0.8d M5 galvanizado
materia prima acero
superficie galvanizado y azul cromado
clase de resistencia 8 ISO 4032",porca sextavada 0.8d M5 galvanizado,"porca sextavada 0.8d M5 galvanizado
matéria-prima a?o
superfície galvanizado e azul
cromatizado
classe de resistência 8 ISO 4032",?estihranná matice 0.8d M5 pozinkovan?,"?estihranná matice 0.8d M5 pozinkovan?
surovina ocel
povrch pozinkovan? a modr? chromátovan?
pevnostní t?ída 8 ISO 4032",?ai ??c sa?u ca?nh 0.8d M5 ???c m? k?m,"?ai ??c sa?u ca?nh 0.8d M5 ???c m? k?m
nguyên li?u thép
b? m?t ???c m? k?m và xanh ???c cromat
hóa
lo?i ?? b?n 8 ISO 4032","BBAN, BSSE",Buy,,,each,false,00001675,,,,"UVN -12001-512,UXN -12001-286,UNN -12001-012",,23110000,false,Dangerous Good No / Hazardous Good No,K00492,,,,,4.7,9.24,8,0.001,8.79,8,4.7,0.002,kg,Weighted,,BELOW,S01 Standardization  BUZ,HS High End Solutions (A4),"Meier-Washuettl, Thomas",2024-12-13 02:15:41
3,LONT-83228-001,Standard Part,Separable,29,1,each,00.2 ,Y-cable power supply 1x5.25 1x3.5,Released,,,,,,,,,,Y-cable power supply 1x5.25 1x3.5,"Y-cable power supply 1x5.25 1x3.5
manufacturer Delock
art. no. 82111",Y-Kabel Stromversorgung 1x5.25 1x3.5,"Y-Kabel Stromversorgung 1x5.25 1x3.5
Hersteller Delock
Art.-Nr. 82111",Y 型电缆 电源 1x5.25 1x3.5,"Y 型电缆 电源 1x5.25 1x3.5
制造商 Delock
产品编号 82111",cable bifurcado alimentación de energía,"cable bifurcado alimentación de energía
 eléctrica 1x5.25 1x3.5
fabricante Delock
n.? art. 82111",cabo Y alimenta??o elétrica 1x5.25 1x3.5,"cabo Y alimenta??o elétrica 1x5.25 1x3.5
fabricante Delock
número do artigo 82111",rozdvojovací kabel napájení proudem,"rozdvojovací kabel napájení proudem
 1x5.25 1x3.5
v?robce Delock
?. polo?ky 82111",cáp ch? Y b? ngu?n 1x5.25 1x3.5,"cáp ch? Y b? ngu?n 1x5.25 1x3.5
nhà s?n xu?t Delock
m? s? s?n ph?m 82111",BLOA,Buy,,,each,false,18 90 00 702,,,,,,27060000,false,Dangerous Good No / Hazardous Good No,K00683,,,,,,,,0.02,200,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-28 12:16:47
3,LOMS-10230-001,Part,Separable,30,1,each,01.3 ,interface cable for monochromator USB,Released,,,,,,,,,,interface cable for monochromator USB,interface cable for monochromator USB,Schnittstellenkabel für Monochromator,"Schnittstellenkabel für Monochromator
 USB",接口电缆   单色仪 USB,接口电缆   单色仪 USB,cable de interfaz para monocromador USB,cable de interfaz para monocromador USB,cabo de interface para monocromador USB,cabo de interface para monocromador USB,propojovací kabel pro rozhraní pro,"propojovací kabel pro rozhraní pro
 monochromátor USB",cáp giao di?n ?? máy ??n s?c USB,cáp giao di?n ?? máy ??n s?c USB,BLOA,Buy,,,each,,16 90 00 109,,,,,,27060000,false,,,,,,,,,,,550,15,25,0.1,kg,Specified,,,M69 M2M LO BLOL,OP Optics (B8),"Benzing, Matthias",2020-09-30 12:19:58
4,LONT-82113-001,Standard Part,Separable,1,1,each,00.2 ,cable Mini-USB B USBA 2 m USB,Released,,,,,,,,,,cable Mini-USB B USBA 2 m USB,"cable Mini-USB B USBA 2 m USB
manufacturer Bulgin
order no. 252-062
black",Kabel Mini-USB B USBA 2 m USB,"Kabel Mini-USB B USBA 2 m USB
Hersteller Bulgin
Bestell-Nr. 252-062
schwarz",电缆 Mini-USB B USBA 2 m 通用串行总线,"电缆 Mini-USB B USBA 2 m 通用串行总线
制造商 Bulgin
订单号 252-062
黑色",cable Mini-USB B USBA 2 m USB,"cable Mini-USB B USBA 2 m USB
fabricante Bulgin
n.? de pedido 252-062
negro",cabo Mini-USB B USBA 2 m USB,"cabo Mini-USB B USBA 2 m USB
fabricante Bulgin
n.° de encomenda 252-062
preto",kabel Mini-USB B USBA 2 m USB,"kabel Mini-USB B USBA 2 m USB
v?robce Bulgin
obj. ?. 252-062
?ern?",cáp Mini-USB B USBA 2 m USB,"cáp Mini-USB B USBA 2 m USB
nhà s?n xu?t Bulgin
??n hàng s? 252-062
màu ?en",BLOA,Buy,,,each,false,15 90 00 173,,,,,,27060000,false,Dangerous Good No / Hazardous Good No,K00683,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-28 12:27:39
4,LONT-83142-001,Standard Part,Separable,2,1,each,00.2 ,"enclosure for USB plug type A, B, PBT",Released,,,,,,,,,,"enclosure for USB plug type A, B, PBT","enclosure for USB plug type A, B, PBT
manufacturer ASSMANN WSW
order no. 674-2264","Geh?use für USB-Stecker Typ A, B, PBT","Geh?use für USB-Stecker Typ A, B, PBT
Hersteller ASSMANN WSW
Bestell-Nr. 674-2264","围场   USB 插头 型号 A, B, PBT","围场   USB 插头 型号 A, B, PBT
制造商 ASSMANN WSW
订单号 674-2264","envolvente para conector USB tipo A, B,","envolvente para conector USB tipo A, B,
 PBT
fabricante ASSMANN WSW
n.? de pedido 674-2264","carca?a para conector USB tipo A, B, PBT","carca?a para conector USB tipo A, B, PBT
fabricante ASSMANN WSW
n.° de encomenda 674-2264","sk?íň pro konektor USB typ A, B, PBT","sk?íň pro konektor USB typ A, B, PBT
v?robce ASSMANN WSW
obj. ?. 674-2264","t? h?p b?o v? ?? ??u c?m USB lo?i A, B,","t? h?p b?o v? ?? ??u c?m USB lo?i A, B,
 PBT
nhà s?n xu?t ASSMANN WSW
??n hàng s? 674-2264",BLOA,Buy,,,each,false,18 90 00 616,,,,,,27143400,false,Dangerous Good No / Hazardous Good No,K01141,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-28 12:32:02
4,LONT-83141-001,Standard Part,Separable,3,1,each,00.2 ,connector A plug,Released,,,,,,,,,,connector A plug,"connector A plug
manufacturer  ASSMANN WSW
order no. 674-2268
operating voltage 30 V
nominal current 1 A",Steckverbinder A Stecker,"Steckverbinder A Stecker
Hersteller  ASSMANN WSW
Bestell-Nr. 674-2268
Betriebsspannung 30 V
Nennstrom 1 A",接头 A 插头连接器,"接头 A 插头连接器
制造商  ASSMANN WSW
订单号 674-2268
工作电压 30 伏
标称电流 1 A",conector A enchufe macho,"conector A enchufe macho
fabricante  ASSMANN WSW
n.? de pedido 674-2268
tensión de servicio 30 V
corriente nominal 1 A",conector A conector,"conector A conector
fabricante  ASSMANN WSW
n.° de encomenda 674-2268
tens?o de servi?o 30 V
corrente nominal 1 A",konektor A kabelová zástr?ka,"konektor A kabelová zástr?ka
v?robce  ASSMANN WSW
obj. ?. 674-2268
provozní napětí 30 V
jmenovit? proud 1 A",??u c?m n?i A phích c?m,"??u c?m n?i A phích c?m
nhà s?n xu?t  ASSMANN WSW
??n hàng s? 674-2268
?i?n áp c?ng tác 30 V
dòng ?i?n danh ngh?a 1 A",BLOA,Buy,,,each,false,18 90 00 615,,,,,,27143400,false,Dangerous Good No / Hazardous Good No,K01128,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-28 12:37:51
3,LOMS-10231-001,Part,Separable,31,1,each,02.2 ,grounding cable for rear wall,Released,,,,,,,,,,grounding cable for rear wall,grounding cable for rear wall,Erdungskabel für Rückwand,Erdungskabel für Rückwand,接地电缆   后壁,接地电缆   后壁,cable de toma a tierra para pared,"cable de toma a tierra para pared
 posterior",cabo de aterramento para parede traseira,cabo de aterramento para parede traseira,zemnicí kabel pro zadní stěna,zemnicí kabel pro zadní stěna,cáp ti?p ??t ??ng th? ?? t?m ?p l?ng,cáp ti?p ??t ??ng th? ?? t?m ?p l?ng,BLOA,Buy,,,each,,16 90 00 110,,,,,,27060000,false,,,,,,,,,,,510,10,10,0.1,kg,Specified,,,M69 M2M LO BLOL,OP Optics (B8),"Weber, Patrick",2023-01-26 09:03:32
4,LONT-82417-001,Standard Part,Separable,1,1,each,00.3 ,compression lug ring cable lug M4 blue,Released,,,,,,,,,,compression lug ring cable lug M4 blue,"compression lug ring cable lug M4 blue
supplier RS Components
order no. 534-581
insulated PVC",Presskabelschuh Ringkabelschuh M4 blau,"Presskabelschuh Ringkabelschuh M4 blau
Lieferant RS Components
Bestell-Nr. 534-581
isoliert PVC",压缩接线头 有眼电缆接线头 M4 蓝色,"压缩接线头 有眼电缆接线头 M4 蓝色
供应商 RS Components
订单号 534-581
绝缘的 聚乙烯",terminal a presión terminal de cable,"terminal a presión terminal de cable
 anular M4 azul
proveedor RS Components
n.? de pedido 534-581
aislado PVC",terminal de cabo a compress?o terminal,"terminal de cabo a compress?o terminal
 olhal M4 azul
fornecedor RS Components
n.° de encomenda 534-581
isolado PVC",lisovací kabelové oko kabelové oko M4,"lisovací kabelové oko kabelové oko M4
 modr?
dodavatel RS Components
obj. ?. 534-581
izolovan? PVC",ch?t ngàm nén khí v?u cáp có khoen M4,"ch?t ngàm nén khí v?u cáp có khoen M4
 xanh
nhà cung ?ng RS Components
??n hàng s? 534-581
???c cách li nh?a PVC",BLOA,Buy,,,each,false,18 00 84 241,,,,,,27141145,false,Dangerous Good No / Hazardous Good No,K01110,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 01:07:50
4,LONT-82418-001,Standard Part,Separable,2,1,each,00.2 ,compression lug ring cable lug M5 blue,Released,,,,,,,,,,compression lug ring cable lug M5 blue,"compression lug ring cable lug M5 blue
manufacturer RS Components
order no. 534-575
insulated
PVC
contact material Cu",Presskabelschuh Ringkabelschuh M5 blau,"Presskabelschuh Ringkabelschuh M5 blau
Hersteller RS Components
Bestell-Nr. 534-575
isoliert
PVC
Kontakt Material Cu",压缩接线头 有眼电缆接线头 M5 蓝色,"压缩接线头 有眼电缆接线头 M5 蓝色
制造商 RS Components
订单号 534-575
绝缘的
聚乙烯
触点 材料 Cu",terminal a presión terminal de cable,"terminal a presión terminal de cable
 anular M5 azul
fabricante RS Components
n.? de pedido 534-575
aislado
PVC
contacto material Cu",terminal de cabo a compress?o terminal,"terminal de cabo a compress?o terminal
 olhal M5 azul
fabricante RS Components
n.° de encomenda 534-575
isolado
PVC
contato material Cu",lisovací kabelové oko kabelové oko M5,"lisovací kabelové oko kabelové oko M5
 modr?
v?robce RS Components
obj. ?. 534-575
izolovan?
PVC
kontakt materiál Cu",ch?t ngàm nén khí v?u cáp có khoen M5,"ch?t ngàm nén khí v?u cáp có khoen M5
 xanh
nhà s?n xu?t RS Components
??n hàng s? 534-575
???c cách li
nh?a PVC
v?t ti?p ?i?n v?t li?u Cu",BLOA,Buy,,,each,false,18 00 84 242,,,,,,27141145,false,Dangerous Good No / Hazardous Good No,K01110,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 01:13:03
4,LONT-81919-001,Standard Part,Separable,3,0.50,meters,00.2 ,stranded conductor 2.5 mm2 insulated,Released,,,,,,,,,,stranded conductor 2.5 mm2 insulated,"stranded conductor 2.5 mm2 insulated
 green and yellow
supplier Farnell
order no. 1204344",Litze 2.5 mm2 isoliert Grün-Gelb,"Litze 2.5 mm2 isoliert Grün-Gelb
Lieferant Farnell
Bestell-Nr. 1204344",分支 2.5 mm2 绝缘的 绿黄双色涂层,"分支 2.5 mm2 绝缘的 绿黄双色涂层
供应商 Farnell
订单号 1204344",cordón 2.5 mm2 aislado verde y amarillo,"cordón 2.5 mm2 aislado verde y amarillo
proveedor Farnell
n.? de pedido 1204344",condutor encordoado 2.5 mm2 isolado,"condutor encordoado 2.5 mm2 isolado
 verde e amarelo
fornecedor Farnell
n.° de encomenda 1204344",lankov? vodi? 2.5 mm2 izolovan?,"lankov? vodi? 2.5 mm2 izolovan?
 ?lutozelen?
dodavatel Farnell
obj. ?. 1204344",d?y d?n b?n 2.5 mm2 ???c cách li màu,"d?y d?n b?n 2.5 mm2 ???c cách li màu
 xanh lá c?y và màu vàng
nhà cung ?ng Farnell
??n hàng s? 1204344",BLOA,Buy,,,meters,false,15 80 00 007,,,,,,27060000,false,Dangerous Good No / Hazardous Good No,K00692,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 09:18:08
3,LOMS-10232-001,Part,Separable,32,1,each,02.2 ,grounding cable for PSU housing,Released,,,,,,,,,,grounding cable for PSU housing,grounding cable for PSU housing,Erdungskabel für Netzteil housing,Erdungskabel für Netzteil housing,接地电缆   电源部件 housing,接地电缆   电源部件 housing,cable de toma a tierra para bloque de,"cable de toma a tierra para bloque de
 alimentación housing",cabo de aterramento para fonte de,"cabo de aterramento para fonte de
 alimenta??o housing",zemnicí kabel pro sí?ov? zdroj housing,zemnicí kabel pro sí?ov? zdroj housing,cáp ti?p ??t ??ng th? ?? b? c?p ?i?n,"cáp ti?p ??t ??ng th? ?? b? c?p ?i?n
 housing",BLOA,Buy,,,each,,16 90 00 111,,,,,,27060000,false,,,,,,,,,,,200,10,10,0.1,kg,Specified,,,M69 M2M LO BLOL,OP Optics (B8),"Weber, Patrick",2023-01-26 09:07:21
4,LONT-82417-001,Standard Part,Separable,1,2,each,00.3 ,compression lug ring cable lug M4 blue,Released,,,,,,,,,,compression lug ring cable lug M4 blue,"compression lug ring cable lug M4 blue
supplier RS Components
order no. 534-581
insulated PVC",Presskabelschuh Ringkabelschuh M4 blau,"Presskabelschuh Ringkabelschuh M4 blau
Lieferant RS Components
Bestell-Nr. 534-581
isoliert PVC",压缩接线头 有眼电缆接线头 M4 蓝色,"压缩接线头 有眼电缆接线头 M4 蓝色
供应商 RS Components
订单号 534-581
绝缘的 聚乙烯",terminal a presión terminal de cable,"terminal a presión terminal de cable
 anular M4 azul
proveedor RS Components
n.? de pedido 534-581
aislado PVC",terminal de cabo a compress?o terminal,"terminal de cabo a compress?o terminal
 olhal M4 azul
fornecedor RS Components
n.° de encomenda 534-581
isolado PVC",lisovací kabelové oko kabelové oko M4,"lisovací kabelové oko kabelové oko M4
 modr?
dodavatel RS Components
obj. ?. 534-581
izolovan? PVC",ch?t ngàm nén khí v?u cáp có khoen M4,"ch?t ngàm nén khí v?u cáp có khoen M4
 xanh
nhà cung ?ng RS Components
??n hàng s? 534-581
???c cách li nh?a PVC",BLOA,Buy,,,each,false,18 00 84 241,,,,,,27141145,false,Dangerous Good No / Hazardous Good No,K01110,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 01:07:50
4,LONT-81930-001,Standard Part,Separable,2,0.18,meters,00.2 ,stranded conductor 1.0 mm2 insulated,Released,,,,,,,,,,stranded conductor 1.0 mm2 insulated,"stranded conductor 1.0 mm2 insulated
 green and yellow
supplier Farnell
order no. 709-256
tinned PVC",Litze 1.0 mm2 isoliert Grün-Gelb,"Litze 1.0 mm2 isoliert Grün-Gelb
Lieferant Farnell
Bestell-Nr. 709-256
verzinnt PVC",分支 1.0 mm2 绝缘的 绿黄双色涂层,"分支 1.0 mm2 绝缘的 绿黄双色涂层
供应商 Farnell
订单号 709-256
镀锡 聚乙烯",cordón 1.0 mm2 aislado verde y amarillo,"cordón 1.0 mm2 aislado verde y amarillo
proveedor Farnell
n.? de pedido 709-256
esta?ado PVC",condutor encordoado 1.0 mm2 isolado,"condutor encordoado 1.0 mm2 isolado
 verde e amarelo
fornecedor Farnell
n.° de encomenda 709-256
estanhado PVC",lankov? vodi? 1.0 mm2 izolovan?,"lankov? vodi? 1.0 mm2 izolovan?
 ?lutozelen?
dodavatel Farnell
obj. ?. 709-256
pocínovan? PVC",d?y d?n b?n 1.0 mm2 ???c cách li màu,"d?y d?n b?n 1.0 mm2 ???c cách li màu
 xanh lá c?y và màu vàng
nhà cung ?ng Farnell
??n hàng s? 709-256
???c tráng thi?c nh?a PVC",BLOA,Buy,,,meters,false,15 80 00 018,,,,,,27060000,false,Dangerous Good No / Hazardous Good No,K00692,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 09:22:29
3,LOMS-10228-001,Part,Separable,33,1,each,03.2 ,interface cable for halogen lamp (PSU),Released,,,,,,,,,,interface cable for halogen lamp (PSU),interface cable for halogen lamp (PSU),Schnittstellenkabel für Halogenlampe,"Schnittstellenkabel für Halogenlampe
 (PSU)",接口电缆   卤素灯 (PSU),接口电缆   卤素灯 (PSU),cable de interfaz para lámpara de,"cable de interfaz para lámpara de
 halógeno (PSU)",cabo de interface para l?mpada halógena,"cabo de interface para l?mpada halógena
 (PSU)",propojovací kabel pro rozhraní pro,"propojovací kabel pro rozhraní pro
 halogenová ?árovka (PSU)",cáp giao di?n ?? ?èn halogen (PSU),cáp giao di?n ?? ?èn halogen (PSU),BLOA,Buy,,,each,,16 90 00 107,,,,,,27060000,false,,,,,,,0.02,0.01,0.01,-1,350,10,10,0.1,kg,Specified,,,M69 M2M LO BLOL,OP Optics (B8),"Weber, Patrick",2023-01-26 09:12:10
4,LONT-81975-001,Standard Part,Separable,1,0.30,meters,00.2 ,flat cable 14 core gray,Released,,,,,,,,,,flat cable 14 core gray,"flat cable 14 core gray
FBK28-14G
manufacturer Klasing
art. no. 05A87214",Flachkabel 14 Ader grau,"Flachkabel 14 Ader grau
FBK28-14G
Hersteller Klasing
Art.-Nr. 05A87214",扁平电缆 14 铁芯 灰色,"扁平电缆 14 铁芯 灰色
FBK28-14G
制造商 Klasing
产品编号 05A87214",cable plano 14 conductor gris,"cable plano 14 conductor gris
FBK28-14G
fabricante Klasing
n.? art. 05A87214",cabo plano 14 fio condutor cinza,"cabo plano 14 fio condutor cinza
FBK28-14G
fabricante Klasing
número do artigo 05A87214",ploch? kabel 14 vodi? ?ed?,"ploch? kabel 14 vodi? ?ed?
FBK28-14G
v?robce Klasing
?. polo?ky 05A87214",cáp d?p 14 l?i xám,"cáp d?p 14 l?i xám
FBK28-14G
nhà s?n xu?t Klasing
m? s? s?n ph?m 05A87214",BLOA,Buy,,,meters,false,15 90 00 009,,,,,,27060000,false,Dangerous Good No / Hazardous Good No,K00693,,,,,,,,,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 12:54:46
4,LONT-82614-001,Standard Part,Separable,2,2,each,00.2 ,insulation displacement connector 09 18,Released,,,,,,,,,,insulation displacement connector 09 18,"insulation displacement connector 09 18
 514 6813
manufacturer Harting
order no. 1106728
number of pins 14
contact material brass
double-row",Schneidklemme 09 18 514 6813,"Schneidklemme 09 18 514 6813
Hersteller Harting
Bestell-Nr. 1106728
Anzahl Pole 14
Kontakt Material Messing
2-reihig",绝缘位移连接器 09 18 514 6813,"绝缘位移连接器 09 18 514 6813
制造商 Harting
订单号 1106728
针数 14
触点 材料 黄铜
双列的",conector de desplazamiento de,"conector de desplazamiento de
 aislamiento 09 18 514 6813
fabricante Harting
n.? de pedido 1106728
cantidad de polos 14
contacto material latón
de dos hileras",conector de deslocamento de isolamento,"conector de deslocamento de isolamento
 09 18 514 6813
fabricante Harting
n.° de encomenda 1106728
número de pinos 14
contato material lat?o
de fila dupla",konektor IDC 09 18 514 6813,"konektor IDC 09 18 514 6813
v?robce Harting
obj. ?. 1106728
po?et pól? 14
kontakt materiál mosaz
dvou?ad?",m?i n?i tr??t c?t cách ?i?n 09 18 514,"m?i n?i tr??t c?t cách ?i?n 09 18 514
 6813
nhà s?n xu?t Harting
??n hàng s? 1106728
s? ch?u 14
v?t ti?p ?i?n v?t li?u ??ng thau
hai d?y",BLOA,Buy,,,each,false,18 90 00 076,,,,,,27260701,false,Dangerous Good No / Hazardous Good No,K01128,,,,,,,,0.002,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Altintepe, Muhammed",2023-03-24 12:42:26
